CHECK_ID,CHECK_TITLE,CHECK_SCORED,CHECK_CIS_LEVEL,CHECK_SEVERITY,CHECK_ASFF_RESOURCE_TYPE,CHECK_ALTERNATE,CHECK_ALTERNATE_check,CHECK_ASFF_COMPLIANCE_TYPE,CHECK_SERVICENAME,CHECK_RISK,CHECK_REMEDIATION,CHECK_DOC,CHECK_CAF_EPIC
7.110,[extra7110] Check if Amazon SageMaker Training job have VPC settings configured.,NOT_SCORED,EXTRA,Medium,AwsSageMakerNotebookInstance,extra7110,extra7110,NA,sagemaker,This could provide an avenue for unauthorized access to your data.,Restrict which traffic can access by launching Studio in a Virtual Private Cloud (VPC) of your choosing.,https://docs.aws.amazon.com/sagemaker/latest/dg/interface-vpc-endpoint.html,Infrastructure Security
7.117,[extra7117] Check if Glue data catalog settings have encrypt connection password enabled.,NOT_SCORED,EXTRA,Medium,AwsGlue,extra7117,extra7117,NA,glue,If not enabled sensitive information at rest is not protected.,On the AWS Glue console; you can enable this option on the Data catalog settings page.,https://docs.aws.amazon.com/glue/latest/dg/encrypt-connection-passwords.html,Data Protection
7.128,[extra7128] Check if DynamoDB table has encryption at rest enabled using CMK KMS,NOT_SCORED,EXTRA,Medium,AwsDynamoDBTable,extra7128,extra7128,ens-mp.info.3.aws.dyndb.1,dynamodb,All user data stored in Amazon DynamoDB is fully encrypted at rest. This functionality helps reduce the operational burden and complexity involved in protecting sensitive data.,Specify an encryption key when you create a new table or switch the encryption keys on an existing table by using the AWS Management Console.,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/EncryptionAtRest.html,Data Protection
7.121,[extra7121] Check if Glue development endpoints have Job bookmark encryption enabled.,NOT_SCORED,EXTRA,Medium,AwsGlue,extra7121,extra7121,NA,glue,If not enabled sensitive information at rest is not protected.,Enable Encryption in the Security configurations.,https://docs.aws.amazon.com/glue/latest/dg/console-security-configurations.html,Data Protection
7.126,[extra7126] Check if there are CMK KMS keys not used,NOT_SCORED,EXTRA,Medium,AwsKmsKey,extra7126,extra7126,op.exp.11.aws.kms.2,kms,Unused keys may increase service cost.,Before deleting a customer master key (CMK); you might want to know how many cipher-texts were encrypted under that key.  ,https://docs.aws.amazon.com/kms/latest/developerguide/deleting-keys-determining-usage.html,Data Protection
7.119,[extra7119] Check if Glue development endpoints have CloudWatch logs encryption enabled.,NOT_SCORED,EXTRA,Medium,AwsGlue,extra7119,extra7119,NA,glue,If not enabled sensitive information at rest is not protected.,Enable Encryption in the Security configurations.,https://docs.aws.amazon.com/glue/latest/dg/console-security-configurations.html,Logging and Monitoring
7.172,[extra7172] Check if S3 buckets have ACLs enabled,NOT_SCORED,EXTRA,Medium,AwsS3Bucket,extra7172,extra7172,NA,s3,S3 ACLs are a legacy access control mechanism that predates IAM. IAM and bucket policies are currently the preferred methods.,Ensure that S3 ACLs are disabled (BucketOwnerEnforced). Use IAM policies and bucket policies to manage access.,https://docs.aws.amazon.com/AmazonS3/latest/userguide/about-object-ownership.html,Logging and Monitoring
7.186,[extra7186] Check S3 Account Level Public Access Block,NOT_SCORED,EXTRA,High,AwsS3Bucket,extra7186,extra7186,NA,s3,Public access policies may be applied to sensitive data buckets,You can enable Public Access Block at the account level to prevent the exposure of your data stored in S3,https://docs.aws.amazon.com/AmazonS3/latest/userguide/access-control-block-public-access.html,Data Protection
3.7,[check37] Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created KMS CMKs,SCORED,LEVEL2,Medium,AwsCloudTrailTrail,check37,check37,ens-op.exp.11.aws.kms.1,kms,Monitoring unauthorized API calls will help reveal application errors and may reduce time to detect malicious activity.,It is recommended that a metric filter and alarm be established for unauthorized requests.,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudwatch-alarms-for-cloudtrail.html,Logging and Monitoring
7.181,[extra7181] Directory Service monitoring with CloudWatch logs,NOT_SCORED,EXTRA,Medium,AwsDirectoryService,extra7181,NA,NA,ds,"As a best practice, monitor your organization to ensure that changes are logged. This helps you to ensure that any unexpected change can be investigated and unwanted changes can be rolled back.",It is recommended that that the export of logs is enabled,CHECK_DOC_extra7181='https://docs.aws.amazon.com/directoryservice/latest/admin-guide/incident-response.html',Infrastructure Security
7.175,[extra7175] CodeBuild Project with an user controlled buildspec,NOT_SCORED,EXTRA,High,NA,extra7175,extra7175,NA,codebuild,The CodeBuild projects with user controlled buildspec,Use buildspec.yml from a trusted source which user cant interfere with,https://docs.aws.amazon.com/codebuild/latest/userguide/security.html,Infrastructure Security
7.188,[extra7188] Ensure Radius server in DS is using the recommended security protocol,NOT_SCORED,EXTRA,Medium,AwsDirectoryService,extra7188,extra7188,NA,ds,"As a best practice, you might need to configure the authentication protocol between the Microsoft AD DCs and the RADIUS/MFA server. Supported protocols are PAP, CHAP MS-CHAPv1, and MS-CHAPv2. MS-CHAPv2 is recommended because it provides the strongest security of the three options.","MS-CHAPv2 provides the strongest security of the options supported, and is therefore recommended",https://aws.amazon.com/blogs/security/how-to-enable-multi-factor-authentication-for-amazon-workspaces-and-amazon-quicksight-by-using-microsoft-ad-and-on-premises-credentials/,Infrastructure Security
